Count,RetMax,RetStart,IdList,TranslationSet,TranslationStack,QueryTranslation,ErrorList,WarningList,name
1,1,0,['67828'],[],"[{'Term': 'Citrobacter gillenii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Citrobacter gillenii[All Names],,,Citrobacter gillenii
1,1,0,['79880'],[],"[{'Term': 'Shouchella clausii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Shouchella clausii[All Names],,,Shouchella clausii
1,1,0,['79880'],[],"[{'Term': 'Bacillus clausii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Bacillus clausii[All Names],,,Bacillus clausii
1,1,0,['648'],[],"[{'Term': 'Aeromonas caviae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Aeromonas caviae[All Names],,,Aeromonas caviae
1,1,0,['546'],[],"[{'Term': 'citrobacter freundii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",citrobacter freundii[All Names],,,Citrobacter freundii
1,1,0,['543'],[],"[{'Term': 'Enterobacteriaceae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Enterobacteriaceae[All Names],,,Enterobacteriaceae
1,1,0,['36470'],[],"[{'Term': ""Streptococcus sp. 'group A'[All Names]"", 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus sp. 'group A'[All Names],,,Streptococcus sp. 'group A'
1,1,0,['1319'],[],"[{'Term': ""Streptococcus sp. 'group B'[All Names]"", 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus sp. 'group B'[All Names],,,Streptococcus sp. 'group B'
1,1,0,['78535'],[],"[{'Term': 'streptococcus viridans[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus viridans[All Names],,,Streptococcus viridans
1,1,0,['480'],[],"[{'Term': 'moraxella catarrhalis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",moraxella catarrhalis[All Names],,,Moraxella catarrhalis
1,1,0,['584'],[],"[{'Term': 'proteus mirabilis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",proteus mirabilis[All Names],,,Proteus mirabilis
1,1,0,['171101'],[],"[{'Term': 'Streptococcus pneumoniae R6[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus pneumoniae R6[All Names],,,Streptococcus pneumoniae R6
0,0,0,[],[],,Streptococcus pneumoniae serotype 4[All Names] AND (strain ATCC BAA-334/TIGR4[All Names]),"{'FieldNotFound': [], 'PhraseNotFound': ['Streptococcus', 'pneumoniae', 'serotype', '4', 'strain', 'ATCC', 'BAA-334', 'TIGR4']}","{'PhraseIgnored': [], 'OutputMessage': ['No items found.'], 'QuotedPhraseNotFound': []}",Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
1,1,0,['10116'],[],"[{'Term': 'rattus norvegicus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",rattus norvegicus[All Names],,,Rattus norvegicus
1,1,0,['470'],[],"[{'Term': 'acinetobacter baumannii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",acinetobacter baumannii[All Names],,,Acinetobacter baumannii
1,1,0,['47886'],[],"[{'Term': 'Pseudomonas luteola[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Pseudomonas luteola[All Names],,,Pseudomonas luteola
1,1,0,['287'],[],"[{'Term': 'pseudomonas aeruginosa[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",pseudomonas aeruginosa[All Names],,,Pseudomonas aeruginosa
1,1,0,['28901'],[],"[{'Term': 'salmonella enterica[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",salmonella enterica[All Names],,,Salmonella enterica
1,1,0,['294'],[],"[{'Term': 'pseudomonas fluorescens[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",pseudomonas fluorescens[All Names],,,Pseudomonas fluorescens
1,1,0,['588'],[],"[{'Term': 'Providencia stuartii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Providencia stuartii[All Names],,,Providencia stuartii
1,1,0,['43767'],[],"[{'Term': 'Prescottella equi[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Prescottella equi[All Names],,,Prescottella equi
1,1,0,['1639'],[],"[{'Term': 'listeria monocytogenes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",listeria monocytogenes[All Names],,,Listeria monocytogenes
1,1,0,['43765'],[],"[{'Term': 'Corynebacterium amycolatum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium amycolatum[All Names],,,Corynebacterium amycolatum
1,1,0,['38289'],[],"[{'Term': 'Corynebacterium jeikeium[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium jeikeium[All Names],,,Corynebacterium jeikeium
1,1,0,['37637'],[],"[{'Term': 'Corynebacterium pseudodiphtheriticum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium pseudodiphtheriticum[All Names],,,Corynebacterium pseudodiphtheriticum
1,1,0,['43770'],[],"[{'Term': 'Corynebacterium striatum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium striatum[All Names],,,Corynebacterium striatum
1,1,0,['43771'],[],"[{'Term': 'Corynebacterium urealyticum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium urealyticum[All Names],,,Corynebacterium urealyticum
1,1,0,['52584'],[],"[{'Term': 'Brachyspira pilosicoli[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Brachyspira pilosicoli[All Names],,,Brachyspira pilosicoli
1,1,0,['40324'],[],"[{'Term': 'stenotrophomonas maltophilia[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",stenotrophomonas maltophilia[All Names],,,Stenotrophomonas maltophilia
1,1,0,['38301'],[],"[{'Term': 'Corynebacterium minutissimum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium minutissimum[All Names],,,Corynebacterium minutissimum
1,1,0,['1725'],[],"[{'Term': 'Corynebacterium xerosis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium xerosis[All Names],,,Corynebacterium xerosis
1,1,0,['29471'],[],"[{'Term': 'Pectobacterium atrosepticum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Pectobacterium atrosepticum[All Names],,,Pectobacterium atrosepticum
1,1,0,['238'],[],"[{'Term': 'Elizabethkingia meningoseptica[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Elizabethkingia meningoseptica[All Names],,,Elizabethkingia meningoseptica
1,1,0,['464'],[],"[{'Term': 'Fluoribacter gormanii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Fluoribacter gormanii[All Names],,,Fluoribacter gormanii
1,1,0,['155892'],[],"[{'Term': 'Caulobacter vibrioides[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Caulobacter vibrioides[All Names],,,Caulobacter vibrioides
1,1,0,['29581'],[],"[{'Term': 'Janthinobacterium lividum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Janthinobacterium lividum[All Names],,,Janthinobacterium lividum
1,1,0,['76860'],[],"[{'Term': 'streptococcus constellatus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus constellatus[All Names],,,Streptococcus constellatus
1,1,0,['1303'],[],"[{'Term': 'streptococcus oralis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus oralis[All Names],,,Streptococcus oralis
1,1,0,['1338'],[],"[{'Term': 'streptococcus intermedius[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus intermedius[All Names],,,Streptococcus intermedius
1,1,0,['28037'],[],"[{'Term': 'streptococcus mitis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus mitis[All Names],,,Streptococcus mitis
1,1,0,['1311'],[],"[{'Term': 'streptococcus agalactiae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus agalactiae[All Names],,,Streptococcus agalactiae
1,1,0,['95486'],[],"[{'Term': 'Burkholderia cenocepacia[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Burkholderia cenocepacia[All Names],,,Burkholderia cenocepacia
1,1,0,['48296'],[],"[{'Term': 'Acinetobacter genomosp. 3[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Acinetobacter genomosp. 3[All Names],,,Acinetobacter genomosp. 3
1,1,0,['48296'],[],"[{'Term': 'Acinetobacter pittii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Acinetobacter pittii[All Names],,,Acinetobacter pittii
1,1,0,['487'],[],"[{'Term': 'neisseria meningitidis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",neisseria meningitidis[All Names],,,Neisseria meningitidis
1,1,0,['356621'],[],"[{'Term': 'Salmonella enterica subsp. enterica serovar Westhampton[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Salmonella enterica subsp. enterica serovar Westhampton[All Names],,,Salmonella enterica subsp. enterica serovar Westhampton
1,1,0,['197'],[],"[{'Term': 'campylobacter jejuni[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",campylobacter jejuni[All Names],,,Campylobacter jejuni
1,1,0,['195'],[],"[{'Term': 'campylobacter coli[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",campylobacter coli[All Names],,,Campylobacter coli
1,1,0,['253'],[],"[{'Term': 'Chryseobacterium indologenes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Chryseobacterium indologenes[All Names],,,Chryseobacterium indologenes
1,1,0,['238'],[],"[{'Term': 'flavobacterium meningosepticum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",flavobacterium meningosepticum[All Names],,,Flavobacterium meningosepticum
1,1,0,['630'],[],"[{'Term': 'yersinia enterocolitica[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",yersinia enterocolitica[All Names],,,Yersinia enterocolitica
1,1,0,['1282'],[],"[{'Term': 'staphylococcus epidermidis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",staphylococcus epidermidis[All Names],,,Staphylococcus epidermidis
1,1,0,['1423'],[],"[{'Term': 'bacillus subtilis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",bacillus subtilis[All Names],,,Bacillus subtilis
1,1,0,['1396'],[],"[{'Term': 'bacillus cereus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",bacillus cereus[All Names],,,Bacillus cereus
1,1,0,['1270'],[],"[{'Term': 'micrococcus luteus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",micrococcus luteus[All Names],,,Micrococcus luteus
1,1,0,['96241'],[],"[{'Term': 'Bacillus spizizenii[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Bacillus spizizenii[All Names],,,Bacillus spizizenii
1,1,0,['9823'],[],"[{'Term': 'sus scrofa[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",sus scrofa[All Names],,,Sus scrofa
1,1,0,['644'],[],"[{'Term': 'aeromonas hydrophila[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",aeromonas hydrophila[All Names],,,Aeromonas hydrophila
1,1,0,['1290'],[],"[{'Term': 'staphylococcus hominis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",staphylococcus hominis[All Names],,,Staphylococcus hominis
1,1,0,['1351'],[],"[{'Term': 'enterococcus faecalis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",enterococcus faecalis[All Names],,,Enterococcus faecalis
1,1,0,['1352'],[],"[{'Term': 'enterococcus faecium[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",enterococcus faecium[All Names],,,Enterococcus faecium
1,1,0,['2697049'],[],"[{'Term': 'Severe acute respiratory syndrome coronavirus 2[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Severe acute respiratory syndrome coronavirus 2[All Names],,,Severe acute respiratory syndrome coronavirus 2
1,1,0,['28035'],[],"[{'Term': 'Staphylococcus lugdunensis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Staphylococcus lugdunensis[All Names],,,Staphylococcus lugdunensis
1,1,0,['29385'],[],"[{'Term': 'Staphylococcus saprophyticus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Staphylococcus saprophyticus[All Names],,,Staphylococcus saprophyticus
1,1,0,['615'],[],"[{'Term': 'serratia marcescens[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",serratia marcescens[All Names],,,Serratia marcescens
1,1,0,['548'],[],"[{'Term': 'klebsiella aerogenes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",klebsiella aerogenes[All Names],,,Klebsiella aerogenes
1,1,0,['35783'],[],"[{'Term': 'Enterococcus sp.[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Enterococcus sp.[All Names],,,Enterococcus sp.
1,1,0,['5741'],[],"[{'Term': 'giardia intestinalis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",giardia intestinalis[All Names],,,Giardia intestinalis
1,1,0,['624'],[],"[{'Term': 'shigella sonnei[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",shigella sonnei[All Names],,,Shigella sonnei
1,1,0,['571'],[],"[{'Term': 'klebsiella oxytoca[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",klebsiella oxytoca[All Names],,,Klebsiella oxytoca
1,1,0,['5691'],[],"[{'Term': 'trypanosoma brucei[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",trypanosoma brucei[All Names],,,Trypanosoma brucei
1,1,0,['7054'],[],"[{'Term': 'Photinus pyralis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Photinus pyralis[All Names],,,Photinus pyralis
1,1,0,['54388'],[],"[{'Term': 'Salmonella enterica subsp. enterica serovar Paratyphi A[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Salmonella enterica subsp. enterica serovar Paratyphi A[All Names],,,Salmonella enterica subsp. enterica serovar Paratyphi A
1,1,0,['623'],[],"[{'Term': 'shigella flexneri[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",shigella flexneri[All Names],,,Shigella flexneri
1,1,0,['585'],[],"[{'Term': 'proteus vulgaris[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",proteus vulgaris[All Names],,,Proteus vulgaris
1,1,0,['485'],[],"[{'Term': 'neisseria gonorrhoeae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",neisseria gonorrhoeae[All Names],,,Neisseria gonorrhoeae
1,1,0,['817'],[],"[{'Term': 'bacteroides fragilis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",bacteroides fragilis[All Names],,,Bacteroides fragilis
1,1,0,['856'],[],"[{'Term': 'Fusobacterium varium[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Fusobacterium varium[All Names],,,Fusobacterium varium
1,1,0,['1502'],[],"[{'Term': 'clostridium perfringens[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",clostridium perfringens[All Names],,,Clostridium perfringens
1,1,0,['9615'],[],"[{'Term': 'Canis lupus familiaris[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Canis lupus familiaris[All Names],,,Canis lupus familiaris
1,1,0,['1428'],[],"[{'Term': 'bacillus thuringiensis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",bacillus thuringiensis[All Names],,,Bacillus thuringiensis
1,1,0,['83333'],[],"[{'Term': 'Escherichia coli K-12[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Escherichia coli K-12[All Names],,,Escherichia coli K-12
1,1,0,['1350'],[],"[{'Term': 'Enterococcus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Enterococcus[All Names],,,Enterococcus
1,1,0,['5480'],[],"[{'Term': 'Candida parapsilosis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Candida parapsilosis[All Names],,,Candida parapsilosis
1,1,0,['292'],[],"[{'Term': 'burkholderia cepacia[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",burkholderia cepacia[All Names],,,Burkholderia cepacia
1,1,0,['135487'],[],"[{'Term': 'Nocardia cyriacigeorgica[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia cyriacigeorgica[All Names],,,Nocardia cyriacigeorgica
1,1,0,['37329'],[],"[{'Term': 'Nocardia farcinica[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia farcinica[All Names],,,Nocardia farcinica
1,1,0,['1823'],[],"[{'Term': 'Nocardia otitidiscaviarum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia otitidiscaviarum[All Names],,,Nocardia otitidiscaviarum
1,1,0,['37330'],[],"[{'Term': 'Nocardia nova[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia nova[All Names],,,Nocardia nova
1,1,0,['37333'],[],"[{'Term': 'Nocardia transvalensis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia transvalensis[All Names],,,Nocardia transvalensis
1,1,0,['37328'],[],"[{'Term': 'Nocardia carnea[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia carnea[All Names],,,Nocardia carnea
1,1,0,['37326'],[],"[{'Term': 'Nocardia brasiliensis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia brasiliensis[All Names],,,Nocardia brasiliensis
1,1,0,['1821'],[],"[{'Term': 'Nocardia sp.[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Nocardia sp.[All Names],,,Nocardia sp.
1,1,0,['1773'],[],"[{'Term': 'mycobacterium tuberculosis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",mycobacterium tuberculosis[All Names],,,Mycobacterium tuberculosis
1,1,0,['11676'],[],"[{'Term': 'human immunodeficiency virus 1[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",human immunodeficiency virus 1[All Names],,,Human immunodeficiency virus 1
1,1,0,['2104'],[],"[{'Term': 'Mycoplasmoides pneumoniae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Mycoplasmoides pneumoniae[All Names],,,Mycoplasmoides pneumoniae
1,1,0,['1258'],[],"[{'Term': 'Peptoniphilus asaccharolyticus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Peptoniphilus asaccharolyticus[All Names],,,Peptoniphilus asaccharolyticus
1,1,0,['1261'],[],"[{'Term': 'Peptostreptococcus anaerobius[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Peptostreptococcus anaerobius[All Names],,,Peptostreptococcus anaerobius
1,1,0,['1260'],[],"[{'Term': 'Finegoldia magna[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Finegoldia magna[All Names],,,Finegoldia magna
1,1,0,['1747'],[],"[{'Term': 'Cutibacterium acnes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Cutibacterium acnes[All Names],,,Cutibacterium acnes
1,1,0,['197614'],[],"[{'Term': 'Streptococcus pasteurianus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus pasteurianus[All Names],,,Streptococcus pasteurianus
1,1,0,['1335'],[],"[{'Term': 'Streptococcus equinus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus equinus[All Names],,,Streptococcus equinus
1,1,0,['469'],[],"[{'Term': 'Acinetobacter[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Acinetobacter[All Names],,,Acinetobacter
1,1,0,['2098'],[],"[{'Term': 'Metamycoplasma hominis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Metamycoplasma hominis[All Names],,,Metamycoplasma hominis
1,1,0,['2129'],[],"[{'Term': 'Ureaplasma[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Ureaplasma[All Names],,,Ureaplasma
1,1,0,['5833'],[],"[{'Term': 'plasmodium falciparum[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",plasmodium falciparum[All Names],,,Plasmodium falciparum
1,1,0,['1720'],[],"[{'Term': 'Corynebacterium sp.[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Corynebacterium sp.[All Names],,,Corynebacterium sp.
1,1,0,['1772'],[],"[{'Term': 'Mycolicibacterium smegmatis[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Mycolicibacterium smegmatis[All Names],,,Mycolicibacterium smegmatis
1,1,0,['8005'],[],"[{'Term': 'electrophorus electricus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",electrophorus electricus[All Names],,,Electrophorus electricus
1,1,0,['9796'],[],"[{'Term': 'equus caballus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",equus caballus[All Names],,,Equus caballus
